date,branch__name,total_sales,cash_amount,network_amount
2026-01-01,مكه كشك الدائري الرابع,3206.78,0.0,0.0
2026-01-01,فرع مكة العوالي,8732.0,0.0,0.0
2026-01-01,مكة كشك العوالي,5057.43,0.0,0.0
2026-01-01,مكة الرصيفة,11677.65,0.0,0.0
2026-01-01,مكة الشرايع,7767.78,0.0,0.0
2026-01-01,مكه العمرة,4131.96,0.0,0.0
2026-01-02,مكه كشك الدائري الرابع,3423.3,0.0,0.0
2026-01-02,فرع مكة العوالي,8855.7,0.0,0.0
2026-01-02,مكة كشك العوالي,4629.48,0.0,0.0
2026-01-02,مكة الرصيفة,8636.35,0.0,0.0
2026-01-02,مكة الشرايع,8844.78,0.0,0.0
2026-01-02,مكه العمرة,7299.56,0.0,0.0
2026-01-03,مكه كشك الدائري الرابع,2423.0,0.0,0.0
2026-01-03,فرع مكة العوالي,5324.61,0.0,0.0
2026-01-03,مكة كشك العوالي,3565.65,0.0,0.0
2026-01-03,مكة الرصيفة,9146.13,0.0,0.0
2026-01-03,مكة الشرايع,6646.0,0.0,0.0
2026-01-03,مكه العمرة,4554.74,0.0,0.0
2026-01-04,مكه كشك الدائري الرابع,2609.65,0.0,0.0
2026-01-04,فرع مكة العوالي,5366.87,0.0,0.0
2026-01-04,مكة كشك العوالي,3699.74,0.0,0.0
2026-01-04,مكة الرصيفة,8274.7,0.0,0.0
2026-01-04,مكة الشرايع,6893.48,0.0,0.0
2026-01-04,مكه العمرة,4565.7,0.0,0.0
2026-01-05,مكه كشك الدائري الرابع,2507.56,0.0,0.0
2026-01-05,فرع مكة العوالي,5983.7,0.0,0.0
2026-01-05,مكة كشك العوالي,4245.39,0.0,0.0
2026-01-05,مكة الرصيفة,8394.83,0.0,0.0
2026-01-05,مكة الشرايع,7115.48,0.0,0.0
2026-01-05,مكه العمرة,4277.87,0.0,0.0
2026-01-06,مكه كشك الدائري الرابع,2800.7,0.0,0.0
2026-01-06,فرع مكة العوالي,5970.7,0.0,0.0
2026-01-06,مكة كشك العوالي,4268.35,0.0,0.0
2026-01-06,مكة الرصيفة,7243.26,0.0,0.0
2026-01-06,مكة الشرايع,6006.39,0.0,0.0
2026-01-06,مكه العمرة,3870.35,0.0,0.0
2026-01-07,مكه كشك الدائري الرابع,3038.26,0.0,0.0
2026-01-07,فرع مكة العوالي,6667.0,0.0,0.0
2026-01-07,مكة كشك العوالي,4155.22,0.0,0.0
2026-01-07,مكة الرصيفة,8942.3,0.0,0.0
2026-01-07,مكة الشرايع,7243.56,0.0,0.0
2026-01-07,مكه العمرة,5154.87,0.0,0.0
2026-01-08,مكه كشك الدائري الرابع,2879.56,0.0,0.0
2026-01-08,فرع مكة العوالي,8043.3,0.0,0.0
2026-01-08,مكة كشك العوالي,4371.3,0.0,0.0
